county,state,year,homeowner_rate,occupied_house,homeowner_occupied,type1,type2,assisstance_rate_type1,assisstance_rate_type2
Acadia Parish,LA,2020,70.03849,"22,029",15428.77896,207,83,0.013416486,0.005379557
Allen Parish,LA,2020,73.80405,"7,851",5794.355966,32,36,0.005522615,0.006212942
Beauregard Parish,LA,2020,80.53512,"13,797",11111.43051,66,41,0.005939829,0.003689894
Calcasieu Parish,LA,2020,70.19434,"83,865",58868.48324,541,551,0.009189977,0.009359847
Cameron Parish,LA,2020,87.04185,"2,121",1846.157639,34,63,0.018416629,0.03412493
Iberia Parish,LA,2020,67.90411,"27,016",18344.97436,208,73,0.011338255,0.003979291
Jefferson Davis Parish,LA,2020,78.2544,"12,197",9544.689168,87,60,0.009115017,0.006286218
Lafayette Parish,LA,2020,68.74447,"97,428",66976.36223,281,94,0.00419551,0.00140348
Rapides Parish,LA,2020,65.09051,"51,268",33370.60267,50,66,0.001498325,0.001977789
St. Landry Parish,LA,2020,69.07246,"32,499",22447.85878,185,52,0.008241321,0.002316479
St. Martin Parish,LA,2020,80.25158,"20,238",16241.31476,164,65,0.010097705,0.004002139
Vermilion Parish,LA,2020,76.79689,"22,195",17045.06974,197,66,0.011557594,0.003872087
Evangeline Parish,LA,2020,64.38888,"12,728",8195.416646,0,0,0,0
Avoyelles Parish,LA,2020,71.87049,"15,181",10910.65909,0,0,0,0
Vernon Parish,LA,2020,55.29379,"18,761",10373.66794,0,0,0,0
Chesterfield County,SC,2018,69.83172,"17,538",12247.08705,37,14,0.003021127,0.001143129
Darlington County,SC,2018,70.12158,"25,649",17985.48405,15,7,0.000834006,0.000389203
Dillon County,SC,2018,64.85093,"11,195",7260.061614,106,54,0.014600427,0.007437953
Florence County,SC,2018,65.92379,"54,627",36012.18876,7,0,0.000194379,0
Georgetown County,SC,2018,75.49261,"27,231",20557.39263,15,5,0.000729665,0.000243222
Horry County,SC,2018,68.87653,"150,221",103467.0121,367,570,0.003547024,0.005509002
Marion County,SC,2018,69.78358,"12,272",8563.840938,105,114,0.012260854,0.013311784
Marlboro County,SC,2018,64.56947,"10,241",6612.559423,55,46,0.008317506,0.006956459
Anson County,NC,2018,66.63542,"8,554",5699.993827,3,1,0.000526316,0.000175439
Beaufort County,NC,2018,70.3009,"19,430",13659.46487,46,25,0.003367628,0.001830233
Bladen County,NC,2018,71.20935,"12,410",8837.080335,133,92,0.01505022,0.010410678
Brunswick County,NC,2018,77.84835,"61,496",47873.62132,243,210,0.005075864,0.004386549
Carteret County,NC,2018,72.96847,"30,112",21972.26569,327,196,0.014882398,0.008920336
Chatham County,NC,2018,75.85383,"31,288",23733.14633,4,2,0.000168541,8.43E-05
Columbus County,NC,2018,72.02356,"20,368",14669.7587,216,176,0.014724169,0.011997471
Craven County,NC,2018,63.02079,"40,932",25795.66976,434,503,0.016824529,0.019499397
Cumberland County,NC,2018,53.13829,"128,978",68536.70368,140,75,0.002042701,0.001094304
Duplin County,NC,2018,68.8348,"19,195",13212.83986,168,388,0.012714905,0.029365375
Durham County,NC,2018,55.98222,"134,653",75381.7387,10,5,0.000132658,6.63E-05
Greene County,NC,2018,69.95161,"6,984",4885.420442,2,0,0.000409381,0
Guilford County,NC,2018,60.89053,"216,022",131536.9407,6,2,4.56E-05,1.52E-05
Harnett County,NC,2018,62.83905,"48,083",30214.90041,51,21,0.001687909,0.000695021
Hoke County,NC,2018,69.03151,"18,590",12832.95771,18,10,0.001402638,0.000779244
Hyde County,NC,2018,61.41832,"1,804",1107.986493,18,5,0.016245685,0.00451269
Johnston County,NC,2018,70.98368,"79,053",56114.72855,13,0,0.000231668,0
Jones County,NC,2018,70.31968,"3,873",2723.481206,88,193,0.032311587,0.070865185
Lee County,NC,2018,66.74834,"24,575",16403.40456,13,4,0.000792518,0.000243852
Lenoir County,NC,2018,58.75814,"22,930",13473.2415,40,25,0.002968848,0.00185553
Moore County,NC,2018,76.30551,"41,881",31957.51064,17,28,0.000531956,0.000876163
New Hanover County,NC,2018,59.93818,"98,109",58804.74902,266,241,0.004523444,0.004098308
Onslow County,NC,2018,54.54368,"69,576",37949.3108,363,260,0.009565391,0.006851244
Orange County,NC,2018,64.4917,"57,059",36798.3191,6,3,0.000163051,8.15E-05
Pamlico County,NC,2018,75.72783,"5,193",3932.546212,87,68,0.022123071,0.017291596
Pender County,NC,2018,80.59345,"22,962",18505.86799,301,501,0.016265111,0.027072494
Pitt County,NC,2018,54.27434,"70,016",38000.72189,11,1,0.000289468,2.63E-05
Richmond County,NC,2018,66.35657,"17,454",11581.87573,17,5,0.001467811,0.000431709
Robeson County,NC,2018,65.87819,"43,402",28592.45202,369,156,0.012905504,0.005455985
Sampson County,NC,2018,69.17912,"22,562",15608.19305,86,40,0.005509927,0.002562757
Scotland County,NC,2018,61.87896,"12,870",7963.822152,71,43,0.008915317,0.005399417
Union County,NC,2018,80.08553,"80,167",64202.16684,6,3,9.35E-05,4.67E-05
Wayne County,NC,2018,61.61243,"45,997",28339.86943,55,30,0.001940729,0.001058579
Wilson County,NC,2018,57.87284,"32,222",18647.7865,3,4,0.000160877,0.000214503
Aransas County,TX,2017,72.14661,"10,236",7384.927,814,781,0.110224515,0.105755954
Austin County,TX,2017,74.10893,"11,618",8609.975487,25,38,0.002903609,0.004413485
Bastrop County,TX,2017,77.41977,"33,267",25755.23489,34,24,0.00132012,0.000931849
Bee County,TX,2017,67.08815,"8,896",5968.161824,47,10,0.007875122,0.001675558
Brazoria County,TX,2017,75.85325,"127,464",96685.58658,1265,2685,0.013083646,0.027770427
